date;series_1;series_2
02.08.04;10544.9;4911.17
03.08.04;10558.75;4905.98
04.08.04;10641.94;4986.5
05.08.04;10557.63;4926.13
06.08.04;10481.52;4962.86
07.08.04;10378.03;4875.22
08.08.04;10422.05;4849.01
09.08.04;10419.59;4882.58
10.08.04;10443.63;4998.16
11.08.04;10456.21;4965.88
12.08.04;10473.09;5048.74
13.08.04;10568.7;5044.12
14.08.04;10535.48;5082.07
15.08.04;10441.11;5138.02
16.08.04;10317.36;5069.42
17.08.04;10287.1;5017.27
18.08.04;10292.31;5007.77
19.08.04;10238.76;5022.79
20.08.04;10253.17;5032.46
21.08.04;10216.91;4981.77
22.08.04;10216.59;4950.07
23.08.04;10287.34;4975.56
24.08.04;10348.1;4978.83
25.08.04;10414.13;4845.98
26.08.04;10281.1;4864.25
27.08.04;10215.22;4838.4
28.08.04;10385.0;4901.79
29.08.04;10377.87;4872.97
30.08.04;10229.95;4806.05
31.08.04;10402.77;4825.64
01.09.04;10440.07;4929.07
02.09.04;10406.77;4922.55
03.09.04;10472.73;4954.83
04.09.04;10522.59;5011.0
05.09.04;10530.76;4995.24
06.09.04;10586.23;5024.2
07.09.04;10539.72;5008.83
08.09.04;10546.21;5011.38
09.09.04;10640.1;5015.55
10.09.04;10686.04;5090.75
11.09.04;10697.17;5092.43
12.09.04;10686.44;5110.61
13.09.04;10674.76;5081.46
14.09.04;10720.22;5099.72
15.09.04;10766.33;5123.5
16.09.04;10871.43;5174.72
17.09.04;10916.09;5196.08
18.09.04;10931.62;5194.27
19.09.04;10912.57;5266.55
20.09.04;10877.51;5307.99
21.09.04;10835.01;5266.86
22.09.04;10856.86;5300.85
23.09.04;10810.91;5266.75
24.09.04;10755.12;5286.75
25.09.04;10778.58;5282.13
26.09.04;10823.72;5310.28
27.09.04;10881.67;5295.82
28.09.04;10875.59;5353.66
29.09.04;10836.53;5350.18
30.09.04;10805.55;5356.6
01.10.04;10833.73;5397.23
02.10.04;10889.44;5398.28
03.10.04;10883.27;5419.05
04.10.04;10883.27;5419.05
05.10.04;10777.77;5444.84
06.10.04;10717.5;5408.26
07.10.04;10717.5;5449.98
08.10.04;10847.41;5460.68
09.10.04;10880.15;5523.62
10.10.04;10882.15;5516.53
11.10.04;10959.31;5536.32
12.10.04;11011.9;5537.11
13.10.04;11011.58;5494.71
14.10.04;11043.44;5532.89
15.10.04;10959.87;5483.09
16.10.04;10959.87;5514.64
17.10.04;10896.32;5460.16
18.10.04;10854.86;5395.61
19.10.04;10880.71;5430.84
20.10.04;10667.39;5349.02
21.10.04;10688.77;5348.72
22.10.04;10712.22;5334.3
23.10.04;10709.74;5427.09
24.10.04;10809.47;5548.91
25.10.04;10907.21;5647.42
26.10.04;10899.92;5660.03
27.10.04;10953.95;5726.53
28.10.04;10793.62;5657.12
29.10.04;10798.27;5666.78
30.10.04;10749.76;5672.92
31.10.04;10858.62;5666.41
01.11.04;10919.05;5701.47
02.11.04;10892.32;5756.33
03.11.04;11028.39;5763.4
04.11.04;11058.97;5764.37
05.11.04;11120.68;5789.25
06.11.04;11115.32;5795.48
07.11.04;11115.32;5793.95
08.11.04;11069.06;5801.04
09.11.04;11137.17;5862.06
10.11.04;11069.22;5857.88
11.11.04;11061.85;5870.79
12.11.04;10993.41;5796.04
13.11.04;11053.53;5866.61
14.11.04;11025.51;5783.49
15.11.04;10958.59;5754.06
16.11.04;10980.69;5739.28
17.11.04;11005.74;5673.36
18.11.04;10972.28;5732.22
19.11.04;11076.34;5804.92
20.11.04;11076.02;5855.16
21.11.04;11151.34;5870.88
22.11.04;11209.77;5898.48
23.11.04;11253.24;5897.79
24.11.04;11279.65;5882.38
25.11.04;11274.53;5902.79
26.11.04;11317.43;5932.31
27.11.04;11270.29;5947.11
28.11.04;11279.97;5973.14
29.11.04;11250.11;5912.26
30.11.04;11154.54;5890.63
01.12.04;11215.7;5914.78
02.12.04;11150.7;5984.19
03.12.04;11109.32;5970.08
04.12.04;11144.94;6024.05
05.12.04;11203.85;6013.85
06.12.04;11239.55;6029.2
07.12.04;11120.04;5952.92
08.12.04;11141.33;6003.4
09.12.04;11089.63;5908.47
10.12.04;11129.97;5901.25
11.12.04;11137.65;5918.57
12.12.04;11137.65;5918.57
13.12.04;11073.78;5918.57
14.12.04;11278.77;5993.76
15.12.04;11342.89;6063.28
16.12.04;11347.45;6094.75
17.12.04;11336.32;6079.09
18.12.04;11283.25;6078.8
19.12.04;11354.49;6107.12
20.12.04;11382.51;6067.74
21.12.04;11367.14;6009.89
22.12.04;11343.29;6009.89
23.12.04;11400.28;5968.96
24.12.04;11438.86;6039.32
25.12.04;11584.54;6127.98
26.12.04;11639.77;6140.72
27.12.04;11642.65;6118.38
28.12.04;11500.73;6054.72
29.12.04;11380.99;5916.28
30.12.04;11428.77;5857.03
31.12.04;11419.89;5851.92
01.01.05;11205.61;5652.72
02.01.05;11128.29;5666.07
03.01.05;11125.33;5546.24
04.01.05;11098.35;5678.49
05.01.05;11117.32;5587.23
06.01.05;11278.61;5788.36
07.01.05;11278.61;5755.02
08.01.05;11168.31;5692.86
09.01.05;11260.28;5707.59
10.01.05;11048.72;5621.19
11.01.05;11002.14;5502.81
12.01.05;10930.9;5543.93
13.01.05;10938.82;5383.28
14.01.05;10891.92;5464.08
15.01.05;10792.58;5395.55
16.01.05;11014.55;5376.01
17.01.05;10942.11;5439.23
18.01.05;10974.84;5493.61
19.01.05;11079.46;5503.41
20.01.05;11019.11;5533.42
21.01.05;10924.74;5459.15
22.01.05;10973.56;5456.87
23.01.05;11190.8;5581.67
24.01.05;11150.22;5683.31
25.01.05;11228.02;5712.69
26.01.05;11228.02;5729.01
27.01.05;11151.82;5625.63
28.01.05;11225.3;5695.47
29.01.05;11090.67;5681.85
30.01.05;11103.55;5706.32
31.01.05;11134.77;5616.04
01.02.05;11013.18;5637.82
02.02.05;10846.29;5527.29
03.02.05;10739.35;5422.22
04.02.05;10747.36;5416.96
05.02.05;10799.23;5396.85
06.02.05;11011.42;5539.29
07.02.05;10928.1;5545.82
08.02.05;10868.38;5451.01
09.02.05;11051.05;5578.05
10.02.05;11103.71;5565.76
11.02.05;11102.51;5583.1
12.02.05;11100.43;5659.07
13.02.05;11219.7;5705.42
14.02.05;11185.68;5681.97
15.02.05;11199.93;5680.82
16.02.05;11240.35;5723.03
17.02.05;11219.38;5626.67
18.02.05;11173.59;5651.92
19.02.05;11076.18;5702.81
20.02.05;11124.37;5630.96
21.02.05;11088.03;5628.37
22.02.05;11097.87;5692.0
23.02.05;11230.26;5776.8
24.02.05;11327.12;5812.94
25.02.05;11334.96;5833.51
26.02.05;11381.47;5817.02
27.02.05;11345.05;5794.83
28.02.05;11297.9;5775.54
01.03.05;11304.46;5814.08
02.03.05;11284.05;5811.47
03.03.05;11352.01;5854.99
04.03.05;11369.94;5847.02
05.03.05;11382.91;5867.53
06.03.05;11464.15;5876.54
07.03.05;11464.15;5909.72
08.03.05;11469.28;5884.07
09.03.05;11406.2;5813.06
10.03.05;11392.11;5795.26
11.03.05;11396.84;5798.46
12.03.05;11498.09;5873.85
13.03.05;11543.32;5906.12
14.03.05;11527.39;5907.37
15.03.05;11560.77;5937.87
16.03.05;11555.0;5926.33
17.03.05;11540.91;5873.46
18.03.05;11533.23;5962.03
19.03.05;11508.1;5883.32
20.03.05;11575.81;5901.66
21.03.05;11669.39;5960.63
22.03.05;11718.45;5989.16
23.03.05;11679.07;6004.33
24.03.05;11670.35;5999.46
25.03.05;11727.34;5992.22
26.03.05;11850.61;6046.37
27.03.05;11866.69;6075.28
28.03.05;11850.21;6085.82
29.03.05;11857.81;6084.4
30.03.05;11867.17;6117.71
31.03.05;11852.13;6119.45
01.04.05;11947.7;6160.28
02.04.05;11960.51;6173.68
03.04.05;11980.6;6186.54
04.04.05;11950.02;6115.1
05.04.05;12011.73;6177.42
06.04.05;12002.37;6202.82
07.04.05;12116.91;6242.91
08.04.05;12127.88;6247.52
